n,dp_time,bf_time
10,0.00011658668518066406,0.0002334117889404297
11,0.00010061264038085938,0.0001327991485595703
12,0.00011801719665527344,0.0006613731384277344
13,0.00016951560974121094,0.0005626678466796875
14,0.00013947486877441406,0.0016705989837646484
15,0.00013756752014160156,0.0009603500366210938
16,0.00020503997802734375,0.0023834705352783203
17,0.00016307830810546875,0.00397181510925293
18,0.00020003318786621094,0.0050563812255859375
19,0.00019860267639160156,0.004137992858886719
20,0.00017070770263671875,0.005949258804321289
21,0.00022029876708984375,0.02353811264038086
22,0.000194549560546875,0.007741689682006836
23,0.00019812583923339844,0.0070056915283203125
24,0.0002167224884033203,0.006523609161376953
25,0.0002162456512451172,0.02764153480529785
