C,dp_time,bf_time
10,6.508827209472656e-05,7.486343383789062e-05
20,0.00017786026000976562,0.0032715797424316406
30,0.00032067298889160156,0.003924846649169922
40,0.00028204917907714844,0.008210897445678711
50,0.0005633831024169922,0.02898573875427246
60,0.0006639957427978516,0.025719404220581055
70,0.0007889270782470703,0.024136066436767578
80,0.0007152557373046875,0.02007460594177246
90,0.0006232261657714844,0.02006387710571289
100,0.0006492137908935547,0.02044200897216797
